Phase,Task ID,Task Description,Status,Assignee,Est Hours,Actual Hours,Blocked By,Notes,Completed Date
Phase 0,0.1,Identify architectural issues,Done,Jack,1,1.5,,Aggregate vs read model identified,2026-03-06
Phase 0,0.2,Define target architecture,Done,Jack,0.5,0.5,,File-centric event-driven,2026-03-06
Phase 0,0.3,Choose module structure,Done,Jack,0.25,0.25,,Option A: Flat structure,2026-03-06
Phase 0,0.4,Document validation boundaries,Done,Jack,0.25,0.25,,Raw vs resolution split,2026-03-06
Phase 0,0.5,Create refactor plan,Done,Jack,0.5,0.75,,SCHEMA_REFACTOR_PLAN.md,2026-03-06
Phase 1,1.1,Add blake3 dependency,Not Started,,-,,,,,
Phase 1,1.2,Create Blake3Hash newtype,Not Started,,1,,,,
Phase 1,1.3,Create RingBuffer<T N> generic,Not Started,,1.5,,,,
Phase 1,1.4,Add zstd compression wrapper,Not Started,,1,,,,
Phase 1,1.5,Create RawFileVersion type,Not Started,,0.5,,,,
Phase 1,1.6,Create RawSchemaFile type,Not Started,,0.5,,,,
Phase 1,1.7,Create RawPropertyBankFile type,Not Started,,0.25,,,,
Phase 1,1.8,Add database tables,Not Started,,0.5,,,,
Phase 1,1.9,Update Ingestor hash computation,Not Started,,1,,,,
Phase 1,1.10,Update Command adapter raw file save,Not Started,,1,,,,
Phase 1,1.11,Add unit tests,Not Started,,1.5,,,,
Phase 2,2.1,Add source_file_hash to StoredMetadata,Not Started,,0.25,,,Phase 1 complete,
Phase 2,2.2,Add created_at to StoredMetadata,Not Started,,0.25,,,Phase 1 complete,
Phase 2,2.3,Update partition_by_staleness,Not Started,,2,,,Phase 1 complete,
Phase 2,2.4,Implement diff_raw_files helper,Not Started,,1,,,Phase 1 complete,
Phase 2,2.5,Update check_property_bank_staleness,Not Started,,1,,,Phase 1 complete,
Phase 2,2.6,Implement find_schemas_using_properties,Not Started,,1,,,Phase 1 complete,
Phase 2,2.7,Add StalenessReason::BankPropertyChanged,Not Started,,0.25,,,Phase 1 complete,
Phase 2,2.8,Add integration test,Not Started,,1,,,Phase 1 complete,
Phase 3,3.1,Define SchemaEvent enum,Not Started,,0.5,,,Phase 2 complete,
Phase 3,3.2,Define PropertyBankEvent enum,Not Started,,0.25,,,Phase 2 complete,
Phase 3,3.3,Create SchemaEventHandler trait,Not Started,,0.25,,,Phase 2 complete,
Phase 3,3.4,Implement LoggingHandler,Not Started,,0.5,,,Phase 2 complete,
Phase 3,3.5,Implement MetricsHandler,Not Started,,1,,,Phase 2 complete,
Phase 3,3.6,Implement ReactiveHandler,Not Started,,1,,,Phase 2 complete,
Phase 3,3.7,Update SchemaService emit events,Not Started,,2,,,Phase 2 complete,
Phase 3,3.8,Add event testing utilities,Not Started,,0.5,,,Phase 2 complete,
Phase 3,3.9,Add integration test,Not Started,,1,,,Phase 2 complete,
Phase 4,4.1,Implement diff_property_bank,Not Started,,1,,,Phase 3 complete,
Phase 4,4.2,Update find_schemas_using_properties,Not Started,,0.5,,,Phase 3 complete,
Phase 4,4.3,Implement resolve_affected_properties,Not Started,,1.5,,,Phase 3 complete,
Phase 4,4.4,Update SchemaService incremental,Not Started,,0.5,,,Phase 3 complete,
Phase 4,4.5,Add benchmark,Not Started,,0.5,,,Phase 3 complete,
Phase 5,5.1,Define RawValidationError enum,Not Started,,0.25,,,Phase 1 complete,
Phase 5,5.2,Implement RawSchema::validate,Not Started,,1,,,Phase 1 complete,
Phase 5,5.3,Implement RawPropertyBank::validate,Not Started,,0.5,,,Phase 1 complete,
Phase 5,5.4,Move semantic validation to resolution,Not Started,,1.5,,,Phase 1 complete,
Phase 5,5.5,Update Ingestor call validate,Not Started,,0.25,,,Phase 1 complete,
Phase 5,5.6,Add unit tests,Not Started,,1,,,Phase 1 complete,
Phase 6,6.1,Move stored.rs to schema root,Not Started,,0.25,,,Phase 5 complete,
Phase 6,6.2,Rename adapter/query to db_query,Not Started,,0.25,,,Phase 5 complete,
Phase 6,6.3,Rename adapter/command to db_command,Not Started,,0.25,,,Phase 5 complete,
Phase 6,6.4,Rename adapter/ingestor to ingestor,Not Started,,0.25,,,Phase 5 complete,
Phase 6,6.5,Delete adapter/mod.rs,Not Started,,0.1,,,Phase 5 complete,
Phase 6,6.6,Create db_tables.rs,Not Started,,0.5,,,Phase 5 complete,
Phase 6,6.7,Delete schema/query.rs wrapper,Not Started,,0.5,,,Phase 5 complete Saves 810 lines,
Phase 6,6.8,Delete schema/command.rs wrapper,Not Started,,0.5,,,Phase 5 complete Saves 394 lines,
Phase 6,6.9,Ensure From<DbError> impls exist,Not Started,,0.25,,,Phase 5 complete,
Phase 6,6.10,Update imports across codebase,Not Started,,1.5,,,Phase 5 complete,
Phase 6,6.11,Move application/schema.rs to schema/loader.rs,Not Started,,1,,,Phase 5 complete,
Phase 6,6.12,Rename SchemaService to Loader,Not Started,,0.25,,,Phase 5 complete,
Phase 6,6.13,Update loader to use concrete types,Not Started,,0.5,,,Phase 5 complete,
Phase 6,6.14,Delete application/schema.rs,Not Started,,0.1,,,Phase 5 complete,
Phase 6,6.15,Update schema/mod.rs public API,Not Started,,0.5,,,Phase 5 complete,
Phase 7,7.1,Remove schema/aggregate.rs,Not Started,,0.25,,,Phase 6 complete BREAKING,
Phase 7,7.2,Remove Schema constructors,Not Started,,0.25,,,Phase 6 complete BREAKING,
Phase 7,7.3,Remove event management code,Not Started,,0.5,,,Phase 6 complete BREAKING,
Phase 7,7.4,Update Resolver return type,Not Started,,0.5,,,Phase 6 complete BREAKING,
Phase 7,7.5,Update Query port return type,Not Started,,1,,,Phase 6 complete BREAKING,
Phase 7,7.6,Update Command port parameter type,Not Started,,1,,,Phase 6 complete BREAKING,
Phase 7,7.7,Update SchemaService,Not Started,,1,,,Phase 6 complete BREAKING,
Phase 7,7.8,Update application layer,Not Started,,0.5,,,Phase 6 complete BREAKING,
Phase 7,7.9,Update CLI coordinate with team,Not Started,,1,,,Phase 6 complete BREAKING,
Phase 7,7.10,Update all tests,Not Started,,1,,,Phase 6 complete BREAKING,
Phase 8,8.1,Update AGENTS.md,Not Started,,0.5,,,Phase 7 complete,
Phase 8,8.2,Update project-context.md,Not Started,,0.5,,,Phase 7 complete,
Phase 8,8.3,Create ADR Schema as Read Model,Not Started,,1,,,Phase 7 complete,
Phase 8,8.4,Update rustdoc comments,Not Started,,1,,,Phase 7 complete,
Phase 8,8.5,Remove dead code,Not Started,,0.5,,,Phase 7 complete,
Phase 8,8.6,Add architecture diagrams,Not Started,,0.5,,,Phase 7 complete,
Phase 8,8.7,Update README.md,Not Started,,0.25,,,Phase 7 complete,
